"'"	(('POS', 0.8198), ("''", 0.1762), (':', 0.004))
'leigh'	(('NNP', 1.0),)
'leigh-pemberton'	(('NNP', 1.0),)
'leipzig'	(('NNP', 1.0),)
'leish'	(('NNP', 1.0),)
'leisure'	(('NN', 0.8571), ('NNP', 0.1429))
'leisurely'	(('JJ', 1.0),)
'leitmotif'	(('NN', 1.0),)
'lekberg'	(('NNP', 1.0),)
'lemans'	(('NNP', 1.0),)
'lemmings'	(('NNS', 1.0),)
'lemmon'	(('NNP', 1.0),)
'lemon'	(('NNP', 1.0),)
'lemon-lime'	(('JJ', 1.0),)
'lemons'	(('NNS', 1.0),)
'lemont'	(('NNP', 1.0),)
'len'	(('NNP', 1.0),)
'lend'	(('VB', 0.7727), ('VBP', 0.2273))
'lendable'	(('JJ', 1.0),)
'lender'	(('NN', 1.0),)
'lenders'	(('NNS', 0.9778), ('NNP', 0.0222))
'lending'	(('NN', 0.7759), ('VBG', 0.1897), ('JJ', 0.0345))
'lends'	(('VBZ', 1.0),)
'leng'	(('NNP', 1.0),)
'length'	(('NN', 1.0),)
'lengthen'	(('VB', 1.0),)
'lengthened'	(('VBN', 1.0),)
'lengthens'	(('VBZ', 1.0),)
'lengths'	(('NNS', 1.0),)
'lengthy'	(('JJ', 1.0),)
'leniency'	(('NN', 1.0),)
'lenient'	(('JJ', 1.0),)
'lenin'	(('NNP', 1.0),)
'leningrad'	(('NNP', 1.0),)
'leninskoye'	(('NNP', 1.0),)
'lenny'	(('NNP', 1.0),)
'lens'	(('NN', 0.7143), ('NNP', 0.2857))
'lenses'	(('NNS', 1.0),)
'lent'	(('VBD', 0.625), ('VBN', 0.375))
'leo'	(('NNP', 1.0),)
'leominster'	(('NNP', 1.0),)
'leon'	(('NNP', 1.0),)
'leona'	(('NNP', 1.0),)
'leonard'	(('NNP', 0.9091), ('NN', 0.0909))
'leonardo'	(('NNP', 1.0),)
'leonel'	(('NNP', 1.0),)
'leong'	(('NNP', 1.0),)
'leonid'	(('NNP', 1.0),)
'leopold'	(('NNP', 1.0),)
'leotards'	(('NNS', 1.0),)
'lep'	(('NNP', 1.0),)
'lepatner'	(('NNP', 1.0),)
'lerman'	(('NNP', 1.0),)
'lerner'	(('NNP', 1.0),)
'les'	(('NNP', 0.8), ('FW', 0.2))
'lesbians'	(('NNS', 1.0),)
'lescaze'	(('NNP', 1.0),)
'leser'	(('NNP', 1.0),)
'lesk'	(('NNP', 1.0),)
'lesko'	(('NNP', 1.0),)
'lesley'	(('NNP', 1.0),)
'leslie'	(('NNP', 1.0),)
'less'	(('JJR', 0.5576), ('RBR', 0.37), ('CC', 0.0617), ('JJS', 0.0054), ('NNP', 0.0027))
'less-advanced'	(('JJ', 1.0),)
'less-ambitious'	(('JJR', 1.0),)
'less-binding'	(('JJ', 1.0),)
'less-conservative'	(('JJ', 1.0),)
'less-creditworthy'	(('JJ', 1.0),)
'less-cyclical'	(('JJ', 1.0),)
'less-developed'	(('JJ', 0.9), ('JJR', 0.1))
'less-developed-country'	(('JJ', 1.0),)
'less-educated'	(('JJ', 1.0),)
'less-intrusive'	(('JJ', 1.0),)
'less-junky'	(('JJR', 1.0),)
'less-perfectly'	(('RBR', 1.0),)
'less-popular'	(('JJ', 1.0),)
'less-profitable'	(('JJ', 1.0),)
'less-rigorous'	(('JJR', 1.0),)
'less-self-confident'	(('JJ', 1.0),)
'less-sweeping'	(('JJ', 1.0),)
'less-than-perfect'	(('JJ', 1.0),)
'less-than-robust'	(('JJ', 1.0),)
'less-than-successful'	(('JJ', 1.0),)
'less-than-truckload'	(('JJ', 1.0),)
'lessen'	(('VB', 1.0),)
'lesser'	(('JJR', 1.0),)
'lesser-developed-country'	(('JJ', 1.0),)
'lessers'	(('NNS', 1.0),)
'lessner'	(('NNP', 1.0),)
'lesson'	(('NN', 1.0),)
'lessons'	(('NNS', 1.0),)
'lest'	(('IN', 1.0),)
'lester'	(('NNP', 1.0),)
'lesutis'	(('NNP', 1.0),)
'let'	(('VB', 0.787), ('VBD', 0.1204), ('VBP', 0.0741), ('VBN', 0.0093), ('NNP', 0.0093))
'lethal'	(('JJ', 0.75), ('NNP', 0.25))
'lethargic'	(('JJ', 1.0),)
'lethargy'	(('NN', 1.0),)
'lets'	(('VBZ', 1.0),)
'lett'	(('NNP', 1.0),)
'letter'	(('NN', 0.9677), ('NNP', 0.0323))
'letterman'	(('NNP', 1.0),)
'letters'	(('NNS', 1.0),)
'letting'	(('VBG', 1.0),)
'lettuce'	(('NN', 1.0),)
'leu'	(('NNP', 1.0),)
'leubert'	(('NNP', 1.0),)
'leucadia'	(('NNP', 1.0),)
'leukemia'	(('NN', 1.0),)
'leumi'	(('NNP', 1.0),)
'leuzzi'	(('NNP', 1.0),)
'leval'	(('NNP', 1.0),)
'levamisole'	(('NN', 1.0),)
'level'	(('NN', 0.9714), ('JJ', 0.0143), ('VB', 0.0095), ('VBP', 0.0048))
'leveled'	(('VBD', 0.5), ('VBN', 0.5))
'leveling'	(('NN', 0.5), ('VBG', 0.5))
'levels'	(('NNS', 1.0),)
'leventhal'	(('NNP', 1.0),)
'lever'	(('NNP', 1.0),)
'leverage'	(('NN', 1.0),)
'leveraged'	(('JJ', 0.8387), ('VBN', 0.1183), ('NN', 0.043))
'leveraged-buy-out'	(('NN', 0.5), ('JJ', 0.5))
'levesque'	(('NNP', 1.0),)
'levi'	(('NNP', 1.0),)
'levied'	(('VBD', 1.0),)
'levin'	(('NNP', 1.0),)
'levine'	(('NNP', 1.0),)
'levinson'	(('NNP', 1.0),)
'levitt'	(('NNP', 1.0),)
'levy'	(('NNP', 0.7333), ('NN', 0.2), ('VB', 0.0667))
'lew'	(('NNP', 1.0),)
'lewala'	(('NNP', 1.0),)
'lewdness'	(('NN', 1.0),)
'lewis'	(('NNP', 1.0),)
'lexicon'	(('NN', 1.0),)
'lexington'	(('NNP', 1.0),)
'lexington-based'	(('JJ', 1.0),)
'lexus'	(('NNP', 1.0),)
'li'	(('NNP', 1.0),)
'liabilities'	(('NNS', 1.0),)
'liability'	(('NN', 0.9643), ('NNP', 0.0357))
'liable'	(('JJ', 1.0),)
'liaison'	(('NNP', 1.0),)
'liaisons'	(('NNS', 1.0),)
'liar'	(('NN', 1.0),)
'liars'	(('NNS', 1.0),)
'libel'	(('NN', 1.0),)
'libeled'	(('VBN', 1.0),)
'libera'	(('FW', 1.0),)
'liberal'	(('JJ', 0.7692), ('NNP', 0.1538), ('NN', 0.0769))
'liberalism'	(('NN', 1.0),)
'liberalization'	(('NN', 1.0),)
'liberalizations'	(('NNS', 1.0),)
'liberalize'	(('VB', 0.75), ('VBP', 0.25))
'liberalized'	(('VBD', 0.5), ('VBN', 0.5))
'liberalizing'	(('VBG', 1.0),)
'liberals'	(('NNS', 1.0),)
'liberated'	(('JJ', 0.5), ('VBD', 0.5))
'liberating'	(('JJ', 1.0),)
'liberation'	(('NNP', 0.6), ('NN', 0.4))
'libertarians'	(('NNS', 1.0),)
'liberties'	(('NNPS', 0.4), ('NNP', 0.4), ('NNS', 0.2))
'liberty'	(('NNP', 0.7778), ('NN', 0.2222))
'libor'	(('NNP', 1.0),)
'librarian'	(('NN', 1.0),)
'libraries'	(('NNS', 1.0),)
'library'	(('NN', 0.9), ('NNP', 0.1))
'libya'	(('NNP', 1.0),)
'libyan'	(('JJ', 1.0),)
'libyans'	(('NNPS', 1.0),)
'license'	(('NN', 0.9259), ('VB', 0.037), ('VBP', 0.037))
'licensed'	(('VBD', 0.4), ('JJ', 0.3), ('VBN', 0.3))
'licensee'	(('NN', 1.0),)
'licenses'	(('NNS', 0.8), ('VBZ', 0.2))
'licensing'	(('NN', 0.75), ('VBG', 0.25))
'licentiousness'	(('NN', 1.0),)
'lichtblau'	(('NNP', 1.0),)
'lichtenstein'	(('NNP', 1.0),)
'licking'	(('VBG', 1.0),)
'lid'	(('NN', 1.0),)
'liddle'	(('NNP', 1.0),)
'lidgerwood'	(('NNP', 1.0),)
'lido'	(('NNP', 1.0),)
'lie'	(('VB', 0.4667), ('VBP', 0.3333), ('NN', 0.2))
'lieb'	(('NNP', 1.0),)
'lieber'	(('NNP', 1.0),)
'lieberman'	(('NNP', 1.0),)
'lied'	(('VBD', 1.0),)
'lien'	(('NN', 1.0),)
'lies'	(('VBZ', 0.9286), ('NNS', 0.0714))
'lieu'	(('NN', 1.0),)
'lieutenant'	(('NN', 1.0),)
'lieutenants'	(('NNS', 1.0),)
'life'	(('NN', 0.7885), ('NNP', 0.2115))
'life-insurance'	(('NN', 1.0),)
'life-of-contract'	(('JJ', 1.0),)
'life-saving'	(('JJ', 1.0),)
'life-style'	(('NN', 0.6667), ('JJ', 0.3333))
'life-threatening'	(('JJ', 1.0),)
'lifeblood'	(('NN', 1.0),)
'lifeboat'	(('NN', 1.0),)
'lifeguards'	(('NNS', 1.0),)
'lifeless'	(('JJ', 1.0),)
'lifelong'	(('JJ', 1.0),)
'lifesavers'	(('NNPS', 0.6667), ('NNP', 0.3333))
'lifesize'	(('JJ', 1.0),)
'lifespan'	(('NNP', 1.0),)
'lifestyle'	(('NN', 1.0),)
'lifestyles'	(('NNP', 1.0),)
'lifetime'	(('NN', 1.0),)
'lifland'	(('NNP', 1.0),)
'lift'	(('VB', 0.6364), ('NN', 0.3182), ('VBP', 0.0455))
'lift-ticket'	(('NN', 0.5), ('JJ', 0.5))
'lifted'	(('VBN', 0.7059), ('VBD', 0.2941))
'lifting'	(('VBG', 0.6667), ('NN', 0.3333))
'liftoff'	(('NN', 1.0),)
'lifts'	(('NNS', 0.75), ('VBZ', 0.25))
'light'	(('NN', 0.5172), ('JJ', 0.4138), ('NNP', 0.046), ('VB', 0.023))
'light-crude'	(('NN', 1.0),)
'light-industrial'	(('JJ', 1.0),)
'light-wave'	(('NN', 1.0),)
'lighted'	(('VBN', 0.6667), ('JJ', 0.3333))
'lighten'	(('VB', 1.0),)
'lightened'	(('VBD', 1.0),)
'lightening'	(('VBG', 1.0),)
'lighter'	(('JJR', 1.0),)
'lighter-than-air'	(('JJ', 1.0),)
'lighter-than-normal'	(('JJ', 1.0),)
'lightest'	(('JJS', 1.0),)
'lightheaded'	(('JJ', 1.0),)
'lightheartedly'	(('RB', 1.0),)
'lighting'	(('NNP', 0.5), ('NN', 0.3), ('VBG', 0.2))
'lightly'	(('RB', 1.0),)
'lightning'	(('NN', 1.0),)
'lights'	(('NNS', 1.0),)
'lightweight'	(('JJ', 1.0),)
'like'	(('IN', 0.8221), ('VB', 0.1006), ('JJ', 0.0406), ('VBP', 0.0368))
'liked'	(('VBD', 0.8), ('VBN', 0.2))
'likelihood'	(('NN', 1.0),)
'likely'	(('JJ', 0.8202), ('RB', 0.1798))
'likened'	(('VBD', 0.5), ('VBN', 0.5))
'likeness'	(('NN', 1.0),)
'likes'	(('VBZ', 0.875), ('NN', 0.0625), ('NNS', 0.0625))
'likewise'	(('RB', 1.0),)
'likins'	(('NNP', 1.0),)
'likud'	(('NNP', 1.0),)
'lillo'	(('NNP', 1.0),)
'lilly'	(('NNP', 0.9667), ('RB', 0.0333))
'lilt'	(('NN', 1.0),)
'lilting'	(('JJ', 1.0),)
'lily'	(('NN', 0.5), ('NNP', 0.5))
'lima'	(('NNP', 1.0),)
'liman'	(('NNP', 1.0),)
'limb'	(('NN', 1.0),)
'limbo'	(('NN', 1.0),)
'limbs'	(('NNS', 1.0),)
'lime'	(('NNP', 1.0),)
'limelight'	(('NN', 1.0),)
'limit'	(('NN', 0.5854), ('VB', 0.3293), ('VBP', 0.0732), ('NNP', 0.0122))
'limitations'	(('NNS', 0.9231), ('NNPS', 0.0769))
'limited'	(('JJ', 0.5), ('VBN', 0.3203), ('NNP', 0.1484), ('VBD', 0.0312))
'limited-edition'	(('JJ', 1.0),)
'limited-production'	(('JJ', 1.0),)
'limiting'	(('VBG', 1.0),)
'limits'	(('NNS', 0.8108), ('VBZ', 0.1892))
'limousines'	(('NNS', 1.0),)
'limp'	(('JJ', 1.0),)
'limpid'	(('JJ', 1.0),)
'limply'	(('RB', 1.0),)
'lin'	(('NNP', 1.0),)
'lin-bellsouth'	(('NNP', 1.0),)
'linage'	(('NN', 1.0),)
'lincoln'	(('NNP', 0.9483), ('NN', 0.0517))
'lincoln-mercury'	(('NNP', 1.0),)
'lincoln-mercury-merkur'	(('NNP', 1.0),)
'lincolnshire'	(('NNP', 1.0),)
'linda'	(('NNP', 1.0),)
'linden'	(('NNP', 0.6667), ('NN', 0.3333))
'lindens'	(('NNPS', 1.0),)
'lindsay'	(('NNP', 1.0),)
'lindsey'	(('NNP', 1.0),)
'line'	(('NN', 0.8904), ('NNP', 0.0877), ('VB', 0.0219))
'line-drawing'	(('JJ', 1.0),)
'line-item'	(('JJ', 1.0),)
'line-item-veto'	(('JJ', 1.0),)
'line-up'	(('NN', 1.0),)
'linear'	(('NNP', 0.8333), ('JJ', 0.1667))
'linebackers'	(('NNS', 1.0),)
'lined'	(('VBN', 0.625), ('VBD', 0.375))
'lineman'	(('NN', 1.0),)
'linen'	(('NN', 1.0),)
'liner'	(('NN', 1.0),)
'liners'	(('NNS', 1.0),)
'lines'	(('NNS', 0.8667), ('NNPS', 0.0815), ('NNP', 0.0519))
'lineup'	(('NN', 1.0),)
'lineups'	(('NNS', 1.0),)
'linger'	(('VB', 1.0),)
'lingerie'	(('NN', 1.0),)
'lingering'	(('VBG', 1.0),)
'lingers'	(('VBZ', 1.0),)
'lingo'	(('NN', 1.0),)
'linguine'	(('NN', 1.0),)
'lingus'	(('NNP', 1.0),)
'linh'	(('NNP', 1.0),)
'lining'	(('NN', 0.6), ('VBG', 0.4))
'link'	(('NN', 0.75), ('VB', 0.2083), ('VBP', 0.0417))
'linkages'	(('NNS', 1.0),)
'linked'	(('VBN', 0.7931), ('VBD', 0.2069))
'linking'	(('VBG', 1.0),)
'links'	(('NNS', 0.7647), ('VBZ', 0.1176), ('NN', 0.0588), ('NNP', 0.0588))
'linkup'	(('NN', 1.0),)
'linsert'	(('NNP', 1.0),)
'linsey'	(('NNP', 1.0),)
'linsley'	(('NNP', 1.0),)
'lintas'	(('NNP', 1.0),)
'linus'	(('NNP', 1.0),)
'lion'	(('NNP', 0.6923), ('NN', 0.3077))
'lionel'	(('NNP', 1.0),)
'lip'	(('NN', 0.5), ('JJ', 0.5))
'lipid'	(('NN', 1.0),)
'lipman'	(('NNP', 1.0),)
'lipoproteins'	(('NNS', 1.0),)
'lippens'	(('NNP', 1.0),)
'lipper'	(('NNP', 1.0),)
'lipps'	(('NNP', 1.0),)
'lips'	(('NNS', 1.0),)
'lipstein'	(('NNP', 1.0),)
'lipstick'	(('NN', 1.0),)
'lipton'	(('NNP', 1.0),)
'liquefied'	(('VBN', 1.0),)
'liquefies'	(('VBZ', 1.0),)
'liquefy'	(('VB', 0.6667), ('VBP', 0.3333))
'liqueur'	(('NNP', 1.0),)
'liquid'	(('JJ', 0.7222), ('NN', 0.2778))
'liquid-chromatography'	(('NN', 1.0),)
'liquid-crystal'	(('JJ', 1.0),)
'liquidate'	(('VB', 1.0),)
'liquidated'	(('VBN', 1.0),)
'liquidating'	(('VBG', 0.4), ('NN', 0.2), ('JJ', 0.2), ('NNP', 0.2))
'liquidation'	(('NN', 1.0),)
'liquidator'	(('NN', 1.0),)
'liquidity'	(('NN', 1.0),)
'liquidity-enhancing'	(('JJ', 1.0),)
'liquids'	(('NNS', 1.0),)
'liquified'	(('JJ', 1.0),)
'liquor'	(('NN', 1.0),)
'lira'	(('NN', 1.0),)
'lire'	(('NNS', 0.92), ('NN', 0.08))
'lisa'	(('NNP', 1.0),)
'lisbeth'	(('NNP', 1.0),)
'lisbon'	(('NNP', 1.0),)
'lish'	(('NNP', 1.0),)
'list'	(('NN', 0.971), ('VB', 0.0145), ('VBP', 0.0145))
'listed'	(('VBN', 0.7895), ('JJ', 0.1228), ('VBD', 0.0877))
'listen'	(('VB', 0.8235), ('VBP', 0.1765))
'listened'	(('VBD', 1.0),)
'listener'	(('NN', 1.0),)
'listeners'	(('NNS', 1.0),)
'listening'	(('VBG', 0.75), ('NN', 0.25))
'listens'	(('VBZ', 1.0),)
'listing'	(('NN', 0.5833), ('VBG', 0.4167))
'listings'	(('NNS', 1.0),)
'listless'	(('JJ', 1.0),)
'lists'	(('NNS', 0.7143), ('VBZ', 0.2857))
'lit'	(('NNP', 0.75), ('VBD', 0.25))
'litany'	(('NN', 1.0),)
'litchfield'	(('NNP', 1.0),)
'literacy'	(('NN', 1.0),)
'literal'	(('JJ', 1.0),)
'literal-minded'	(('JJ', 1.0),)
'literally'	(('RB', 1.0),)
'literary'	(('JJ', 0.875), ('NNP', 0.125))
'literature'	(('NN', 1.0),)
'lithium'	(('NN', 1.0),)
'lithographs'	(('NNS', 1.0),)
'lithography'	(('NN', 1.0),)
'lithotripsy'	(('NN', 1.0),)
'lithotripter'	(('NN', 1.0),)
'lithox'	(('NNP', 1.0),)
'litigants'	(('NNS', 1.0),)
'litigation'	(('NN', 0.7692), ('NNP', 0.2308))
'litigator'	(('NN', 1.0),)
'litigators'	(('NNS', 1.0),)
'litle'	(('JJ', 1.0),)
'litmus'	(('NN', 1.0),)
'litter'	(('NN', 1.0),)
'littered'	(('VBN', 1.0),)
'little'	(('JJ', 0.7175), ('RB', 0.2208), ('NNP', 0.0617))
'little-known'	(('JJ', 1.0),)
'little-publicized'	(('JJ', 1.0),)
'littleboy'	(('NNP', 1.0),)
'littleton'	(('NNP', 1.0),)
'littman'	(('NNP', 1.0),)
'litton'	(('NNP', 1.0),)
'liturgy'	(('NN', 1.0),)
'litvack'	(('NNP', 1.0),)
'litvinchuk'	(('NNP', 1.0),)
'liu'	(('NNP', 1.0),)
'live'	(('VB', 0.386), ('VBP', 0.3333), ('JJ', 0.2456), ('RB', 0.0175), ('NNP', 0.0175))
'live-hauled'	(('VBD', 1.0),)
'live-haulers'	(('NNS', 1.0),)
'lived'	(('VBD', 0.6875), ('VBN', 0.3125))
'liveliest'	(('JJS', 1.0),)
'livelihood'	(('NN', 1.0),)
'lively'	(('JJ', 1.0),)
'liver'	(('NN', 1.0),)
'liveried'	(('JJ', 1.0),)
'livermore'	(('NNP', 1.0),)
'lives'	(('NNS', 0.7), ('VBZ', 0.3))
'livestock'	(('NN', 0.6667), ('NNP', 0.3333))
'livestock-dealing'	(('JJ', 1.0),)
'livid'	(('JJ', 1.0),)
'living'	(('VBG', 0.6531), ('NN', 0.3061), ('JJ', 0.0408))
'living-benefits'	(('JJ', 1.0),)
'liz'	(('NNP', 1.0),)
'liza'	(('NNP', 1.0),)
'lizhi'	(('NNP', 1.0),)
'ljn'	(('NNP', 1.0),)
'llerena'	(('NNP', 1.0),)
'lloyd'	(('NNP', 0.9701), ('NN', 0.0299))
'lloyds'	(('NNP', 1.0),)
'lme'	(('NNP', 1.0),)
'lmeyer'	(('NNP', 1.0),)
'load'	(('NN', 0.92), ('VB', 0.08))
'loaded'	(('VBN', 0.5), ('JJ', 0.25), ('VBD', 0.25))
'loading'	(('NN', 0.6667), ('VBG', 0.3333))
'loadings'	(('NNS', 1.0),)
'loads'	(('NNS', 1.0),)
'loafers'	(('NNS', 1.0),)
'loan'	(('NN', 0.7488), ('NNP', 0.2464), ('VB', 0.0047))
'loan-loss'	(('NN', 0.5714), ('JJ', 0.4286))
'loan-management'	(('NN', 1.0),)
'loaned'	(('VBD', 0.5), ('VBN', 0.5))
'loans'	(('NNS', 0.9966), ('VBZ', 0.0034))
'loath'	(('JJ', 1.0),)
'loathed'	(('VBD', 0.5), ('VBN', 0.5))
'loathing'	(('NN', 1.0),)
'loathsome'	(('JJ', 1.0),)
'lobbied'	(('VBD', 0.6), ('VBN', 0.4))
'lobbies'	(('NNS', 1.0),)
'lobby'	(('NN', 0.8333), ('VB', 0.1667))
'lobbying'	(('VBG', 0.65), ('NN', 0.35))
'lobbyist'	(('NN', 1.0),)
'lobbyists'	(('NNS', 1.0),)
'lobster'	(('NN', 1.0),)
'local'	(('JJ', 0.9884), ('NNP', 0.0116))
'local-exchange'	(('JJ', 1.0),)
'local-government'	(('JJ', 1.0),)
'locale'	(('NN', 1.0),)
'locales'	(('NNS', 1.0),)
'localized'	(('JJ', 0.5), ('VBN', 0.5))
'locally'	(('RB', 1.0),)
'locals'	(('NNS', 1.0),)
'locate'	(('VB', 0.8), ('VBP', 0.2))
'located'	(('VBN', 0.95), ('JJ', 0.05))
'locating'	(('VBG', 1.0),)
'location'	(('NN', 0.9), ('NNP', 0.1))
'locations'	(('NNS', 1.0),)
'lock'	(('VB', 0.4667), ('NN', 0.3333), ('JJ', 0.0667), ('NNP', 0.0667), ('VBP', 0.0667))
'locke'	(('NNP', 1.0),)
'locked'	(('VBN', 0.9), ('VBD', 0.1))
'locker'	(('NNP', 1.0),)
'lockerbie'	(('NNP', 1.0),)
'lockheed'	(('NNP', 1.0),)
'locking'	(('VBG', 1.0),)
'locking-in'	(('NN', 1.0),)
'lockman'	(('NNP', 1.0),)
'locks'	(('VBZ', 0.5), ('NNS', 0.5))
'lockup'	(('NN', 1.0),)
'loco'	(('NNP', 1.0),)
'locutions'	(('NNS', 1.0),)
'lodestar'	(('NNP', 1.0),)
'lodge'	(('NNP', 0.6667), ('VB', 0.3333))
'lodged'	(('VBN', 1.0),)
'lodgings'	(('NNS', 1.0),)
'loeb'	(('NNP', 1.0),)
'loewi'	(('NNP', 1.0),)
'loews'	(('NNP', 1.0),)
'loft'	(('NN', 1.0),)
'lofty'	(('JJ', 1.0),)
'log'	(('VB', 0.3333), ('VBP', 0.3333), ('NN', 0.3333))
'log-rolled'	(('VBD', 1.0),)
'logan'	(('NNP', 1.0),)
'logged'	(('VBD', 0.5), ('VBN', 0.5))
'loggia'	(('NNP', 1.0),)
'logging'	(('VBG', 1.0),)
'logic'	(('NN', 0.75), ('NNP', 0.25))
'logical'	(('JJ', 1.0),)
'logically'	(('RB', 1.0),)
'logistical'	(('JJ', 1.0),)
'logistics'	(('NNS', 0.8), ('NNP', 0.2))
'logistics-computer'	(('NN', 1.0),)
'logo'	(('NN', 1.0),)
'logos'	(('NNS', 1.0),)
'logs'	(('VBZ', 1.0),)
'logsdon'	(('NNP', 1.0),)
'loitering'	(('NN', 1.0),)
'lok'	(('NNP', 1.0),)
'lokey'	(('NNP', 1.0),)
'loman'	(('NNP', 1.0),)
'lomas'	(('NNP', 1.0),)
'lomb'	(('NNP', 1.0),)
'lombard'	(('NNP', 1.0),)
'lombardi'	(('NNP', 1.0),)
'lombardo'	(('NNP', 1.0),)
'lompoc'	(('NNP', 1.0),)
'londe'	(('NNP', 1.0),)
'london'	(('NNP', 0.9916), ('JJ', 0.0084))
'london-based'	(('JJ', 1.0),)
'lone'	(('NNP', 0.913), ('JJ', 0.087))
'lonely'	(('JJ', 1.0),)
'lonesome'	(('JJ', 1.0),)
'loney'	(('NNP', 1.0),)
'long'	(('JJ', 0.5267), ('RB', 0.4448), ('NNP', 0.0285))
'long-awaited'	(('JJ', 1.0),)
'long-banned'	(('JJ', 1.0),)
'long-canceled'	(('JJ', 1.0),)
'long-cherished'	(('JJ', 1.0),)
'long-dated'	(('JJ', 1.0),)
'long-debated'	(('JJ', 1.0),)
'long-deferred'	(('JJ', 1.0),)
'long-delayed'	(('JJ', 1.0),)
'long-distance'	(('JJ', 0.6471), ('NN', 0.3529))
'long-dominant'	(('JJ', 1.0),)
'long-dormant'	(('JJ', 1.0),)
'long-established'	(('JJ', 1.0),)
'long-familiar'	(('JJ', 1.0),)
'long-haul'	(('JJ', 1.0),)
'long-held'	(('JJ', 1.0),)
'long-necked'	(('JJ', 1.0),)
'long-planned'	(('JJ', 1.0),)
'long-range'	(('JJ', 1.0),)
'long-rumored'	(('JJ', 1.0),)
'long-running'	(('JJ', 1.0),)
'long-shelf-life'	(('JJ', 1.0),)
'long-simmering'	(('JJ', 1.0),)
'long-suffering'	(('JJ', 1.0),)
'long-term'	(('JJ', 0.96), ('NN', 0.0133), ('NNP', 0.0133), ('RB', 0.0067), ('NNS', 0.0067))
'long-term-oriented'	(('JJ', 1.0),)
'long-time'	(('JJ', 1.0),)
'long-troubled'	(('JJ', 1.0),)
'long-yardage'	(('JJ', 1.0),)
'longed-for'	(('JJ', 1.0),)
'longer'	(('RB', 0.4474), ('RBR', 0.2895), ('JJR', 0.2632))
'longer-run'	(('JJ', 1.0),)
'longer-term'	(('JJ', 0.5714), ('JJR', 0.4286))
'longest'	(('JJS', 0.8333), ('NNP', 0.1667))
'longhaul'	(('NN', 1.0),)
'longing'	(('NN', 1.0),)
'longmont'	(('NNP', 1.0),)
'longs'	(('NNP', 1.0),)
'longshoreman'	(('NN', 1.0),)
'longstanding'	(('JJ', 1.0),)
'longterm'	(('JJ', 1.0),)
'longtime'	(('JJ', 0.64), ('NN', 0.36))
'lonnie'	(('NNP', 1.0),)
'lonrho'	(('NNP', 1.0),)
'look'	(('VB', 0.5461), ('VBP', 0.2303), ('NN', 0.2237))
'looked'	(('VBD', 0.7647), ('VBN', 0.2353))
'looking'	(('VBG', 1.0),)
'lookout'	(('NN', 1.0),)
'looks'	(('VBZ', 0.8889), ('NNS', 0.1111))
'loom'	(('NNP', 0.6667), ('VB', 0.3333))
'looming'	(('VBG', 1.0),)
'looms'	(('VBZ', 0.8333), ('NNS', 0.1667))
'loonies'	(('NNS', 1.0),)
'loony'	(('JJ', 1.0),)
'loop'	(('NN', 1.0),)
'loophole'	(('NN', 1.0),)
'loopholes'	(('NNS', 1.0),)
'loose'	(('JJ', 0.7), ('RB', 0.2), ('VB', 0.05), ('NNP', 0.05))
'looseleaf'	(('NN', 1.0),)
'loosely'	(('RB', 1.0),)
'loosen'	(('VB', 1.0),)
'loosened'	(('VBN', 1.0),)
'loosening'	(('NN', 0.5), ('VBG', 0.5))
'looser'	(('JJR', 1.0),)
'loot'	(('VB', 0.5), ('NN', 0.5))
'looting'	(('NN', 0.75), ('VBG', 0.25))
'lopez'	(('NNP', 1.0),)
'lopid'	(('NNP', 1.0),)
'lopsided'	(('JJ', 1.0),)
'loquacious'	(('JJ', 1.0),)
'lorain'	(('NNP', 1.0),)
'loral'	(('NNP', 1.0),)
'loran'	(('NNP', 1.0),)
'lorazapam'	(('NN', 1.0),)
'lord'	(('NNP', 1.0),)
'lorded'	(('VBD', 1.0),)
'lords'	(('NNPS', 0.6667), ('NNS', 0.3333))
'lordship'	(('NN', 1.0),)
'lordstown'	(('NNP', 1.0),)
'lorenzo'	(('NNP', 1.0),)
'lorex'	(('NNP', 1.0),)
'lorimar'	(('NNP', 1.0),)
'lorin'	(('NNP', 1.0),)
'loring'	(('NNP', 1.0),)
'lorne'	(('NNP', 1.0),)
'lorraine'	(('NNP', 1.0),)
'lortie'	(('NNP', 1.0),)
'los'	(('NNP', 1.0),)
'lose'	(('VB', 0.7794), ('VBP', 0.2206))
'loser'	(('NN', 0.8), ('JJ', 0.2))
'losers'	(('NNS', 1.0),)
'loses'	(('VBZ', 1.0),)
'losing'	(('VBG', 0.8846), ('NN', 0.0577), ('JJ', 0.0577))
'loss'	(('NN', 1.0),)
'loss-expense'	(('JJ', 1.0),)
'loss-making'	(('JJ', 1.0),)
'loss-recovery'	(('JJ', 1.0),)
'losses'	(('NNS', 1.0),)
'lost'	(('VBD', 0.5183), ('VBN', 0.4512), ('JJ', 0.0305))
'lost-profits'	(('JJ', 1.0),)
'lot'	(('NN', 0.9581), ('RB', 0.0366), ('NNP', 0.0052))
'lothson'	(('NNP', 1.0),)
'lotion'	(('NN', 1.0),)
'lotos'	(('NNP', 1.0),)
'lots'	(('NNS', 1.0),)
'lott'	(('NNP', 1.0),)
'lotteries'	(('NNS', 1.0),)
'lottery'	(('NN', 1.0),)
'lotus'	(('NNP', 1.0),)
